title,brand,model,type,year,transmisi,qty,avg_price,low_price,mid_price,new_price
Toyota Alphard G Automatic 2020,Toyota,Alphard,G,2020,Automatic,87," 818,942,529 "," 648,000,000 "," 733,471,264 ",1193250000
Toyota Avanza G Manual 2021,Toyota,Avanza,G,2021,Manual,103," 168,349,515 "," 148,000,000 "," 158,174,757 ",206700000
Hyundai Palisade Signature 2WD Automatic 2023,Hyundai,Palisade,Signature 2WD,2023,Automatic,66," 812,757,576 "," 695,000,000 "," 753,878,788 ",1030000000
BMW X5 xDrive40i xLine Automatic 2022,BMW,X5,xDrive40i xLine,2022,Automatic,47," 1,040,042,553 "," 765,000,000 "," 902,521,277 ",1865000000
Mitsubishi Xpander Ultimate Automatic 2022,Mitsubishi,Xpander,Ultimate,2022,Automatic,99," 240,626,263 "," 175,000,000 "," 207,813,131 ",312900000
Toyota Kijang Innova G Automatic 2021,Toyota,Kijang Innova,G,2021,Automatic,119," 296,184,874 "," 249,000,000 "," 272,592,437 ",369700000
Toyota Kijang Innova G Automatic 2019,Toyota,Kijang Innova,G,2019,Automatic,316," 266,596,519 "," 228,000,000 "," 247,298,260 ",348850000
Mercedes-Benz E300 AMG Line Automatic 2017,Mercedes-Benz,E300,AMG Line,2017,Automatic,58," 575,310,345 "," 478,000,000 "," 526,655,172 ",1329000000
Toyota Kijang Innova Zenix Q HV TSS Modellista (Premium Color) Automatic 2023,Toyota,Kijang Innova Zenix,Q HV TSS Modellista (Premium Color),2023,Automatic,71," 510,732,396 "," 425,000,000 "," 467,866,198 ",614000000
BMW 330i M Sport Automatic 2020,BMW,330i,M Sport,2020,Automatic,40," 628,597,500 "," 549,999,999 "," 589,298,749 ",975000000
Mazda CX-5 Kuro Edition Automatic 2022,Mazda,CX-5,Kuro Edition,2022,Automatic,48," 457,812,500 "," 354,000,000 "," 405,906,250 ",588800000
Toyota Veloz Q (Non Premium Color) Automatic 2023,Toyota,Veloz,Q (Non Premium Color),2023,Automatic,86," 236,273,256 "," 210,000,000 "," 223,136,628 ",304400000
Toyota Alphard G Automatic 2021,Toyota,Alphard,G,2021,Automatic,120," 878,425,000 "," 730,000,000 "," 804,212,500 ",1259950000
Toyota Alphard G Automatic 2022,Toyota,Alphard,G,2022,Automatic,148," 965,215,541 "," 790,000,000 "," 877,607,770 ",1312050000
Toyota Fortuner GR Sport 4X2 Automatic 2023,Toyota,Fortuner,GR Sport 4X2,2023,Automatic,40," 512,737,500 "," 442,000,000 "," 477,368,750 ",607900000
Mercedes-Benz GLC200 AMG Line Automatic 2021,Mercedes-Benz,GLC200,AMG Line,2021,Automatic,54," 744,870,370 "," 615,000,000 "," 679,935,185 ",1035000000
Toyota Alphard G Automatic 2023,Toyota,Alphard,G,2023,Automatic,72," 1,037,847,244 "," 790,000,000 "," 913,923,622 ",1356100000
Honda Brio RS Automatic 2023,Honda,Brio,RS,2023,Automatic,84," 190,369,048 "," 153,000,000 "," 171,684,524 ",233900000
Toyota Calya G Automatic 2018,Toyota,Calya,G,2018,Automatic,76," 113,690,789 "," 90,000,000 "," 101,845,395 ",150650000
Honda HR-V E Automatic 2017,Honda,HR-V,E,2017,Automatic,88," 187,193,182 "," 159,000,000 "," 173,096,591 ",298000000
Toyota Raize GR Sport (2 Tone) Automatic 2021,Toyota,Raize,GR Sport (2 Tone),2021,Automatic,67," 196,447,761 "," 175,000,000 "," 185,723,881 ",263700000
Hyundai Creta Trend Automatic 2022,Hyundai,Creta,Trend,2022,Automatic,44," 220,250,000 "," 185,000,000 "," 202,625,000 ",299000000
Honda CR-V Turbo Prestige Automatic 2020,Honda,CR-V,Turbo Prestige,2020,Automatic,59," 368,830,508 "," 345,000,000 "," 356,915,254 ",540000000
Honda BR-V Prestige Honda Sensing Automatic 2022,Honda,BR-V,Prestige Honda Sensing,2022,Automatic,145," 236,200,690 "," 208,000,000 "," 222,100,345 ",346600000
Honda Brio Satya E Automatic 2023,Honda,Brio,Satya E,2023,Automatic,146," 164,962,329 "," 139,000,000 "," 151,981,164 ",191900000
Toyota Kijang Innova Venturer Automatic 2021,Toyota,Kijang Innova,Venturer,2021,Automatic,76," 419,427,632 "," 285,000,000 "," 352,213,816 ",494400000
Toyota Kijang Innova Venturer Automatic 2019,Toyota,Kijang Innova,Venturer,2019,Automatic,44," 352,840,909 "," 285,000,000 "," 318,920,455 ",453750000
Honda Mobilio E Automatic 2018,Honda,Mobilio,E,2018,Automatic,69," 149,057,971 "," 134,000,000 "," 141,528,986 ",217500000
Hyundai Creta Prime Automatic 2023,Hyundai,Creta,Prime,2023,Automatic,101," 288,594,059 "," 235,000,000 "," 261,797,030 ",408300000
Honda City RS Automatic 2023,Honda,City,RS,2023,Automatic,41," 250,121,951 "," 235,000,000 "," 242,560,976 ",373900000
Mazda CX-3 Sport Automatic 2021,Mazda,CX-3,Sport,2021,Automatic,44," 272,772,727 "," 249,000,000 "," 260,886,364 ",339900000
Honda HR-V E Automatic 2016,Honda,HR-V,E,2016,Automatic,61," 180,491,803 "," 145,000,000 "," 162,745,902 "," 297,000,000 "
Honda HR-V E Special Edition Automatic 2019,Honda,HR-V,E Special Edition,2019,Automatic,54," 230,388,889 "," 189,000,000 "," 209,694,444 ",329500000
Toyota Fortuner VRZ 4X2 Automatic 2021,Toyota,Fortuner,VRZ 4X2,2021,Automatic,43," 435,697,674 "," 385,000,000 "," 410,348,837 ",554700000
Honda WR-V RS Honda Sensing Automatic 2023,Honda,WR-V,RS Honda Sensing,2023,Automatic,42," 244,880,952 "," 220,000,000 "," 232,440,476 ",309900000
Hyundai Stargazer Prime Automatic 2022,Hyundai,Stargazer,Prime,2022,Automatic,142," 211,277,465 "," 188,000,000 "," 199,638,732 ",307100000
Mitsubishi Xpander Cross Premium Automatic 2020,Mitsubishi,Xpander Cross,Premium,2020,Automatic,62," 224,064,355 "," 199,000,000 "," 211,532,177 ",289700000
Mitsubishi Xpander Cross Premium Automatic 2023,Mitsubishi,Xpander Cross,Premium,2023,Automatic,91," 277,115,385 "," 245,000,000 "," 261,057,692 ",342650000
Daihatsu Sigra D Manual 2023,Daihatsu,Sigra,D,2023,Manual,75," 108,546,667 "," 92,000,000 "," 100,273,333 ",135000000
Honda BR-V Prestige Automatic 2023,Honda,BR-V,Prestige,2023,Automatic,96," 244,479,167 "," 214,000,000 "," 229,239,583 ",335000000
Honda BR-V E Automatic 2017,Honda,BR-V,E,2017,Automatic,48," 157,270,833 "," 128,000,000 "," 142,635,417 ",249500000
Mitsubishi Xpander Ultimate Automatic 2019,Mitsubishi,Xpander,Ultimate,2019,Automatic,125," 201,316,072 "," 160,000,000 "," 180,658,036 ",265100000
BMW X5 xDrive40i xLine Automatic 2019,BMW,X5,xDrive40i xLine,2019,Automatic,46," 871,282,609 "," 599,000,000 "," 735,141,304 ",1489000000
Toyota Veloz Q (Non Premium Color) Automatic 2022,Toyota,Veloz,Q (Non Premium Color),2022,Automatic,103," 226,242,718 "," 203,000,000 "," 214,621,359 ",291100000
Suzuki XL7 Beta Automatic 2022,Suzuki,XL7,Beta,2022,Automatic,46," 202,728,261 "," 177,000,000 "," 189,864,130 ",270000000
Toyota Fortuner VRZ TRD 4X2 Automatic 2020,Toyota,Fortuner,VRZ TRD 4X2,2020,Automatic,76," 424,881,579 "," 395,000,000 "," 409,940,789 ",535800000
Honda CR-V Turbo Prestige Automatic 2019,Honda,CR-V,Turbo Prestige,2019,Automatic,94," 341,622,340 "," 297,000,000 "," 319,311,170 ",526400000
Honda Jazz RS Automatic 2019,Honda,Jazz,RS,2019,Automatic,59," 224,457,627 "," 198,000,000 "," 211,228,814 ",279000000
Honda HR-V E Automatic 2018,Honda,HR-V,E,2018,Automatic,66," 202,924,242 "," 177,000,000 "," 189,962,121 ",312000000
Daihatsu Xenia R Automatic 2022,Daihatsu,Xenia,R,2022,Automatic,45," 189,355,556 "," 176,000,000 "," 182,677,778 ",245200000
Honda Brio E Automatic 2018,Honda,Brio,E,2018,Automatic,85," 130,976,471 "," 115,000,000 "," 122,988,235 ",141000000
Toyota Raize GR Sport (1 Tone) Automatic 2022,Toyota,Raize,GR Sport (1 Tone),2022,Automatic,52," 205,442,308 "," 178,000,000 "," 191,721,154 ",277600000
Toyota Sienta V Automatic 2017,Toyota,Sienta,V,2017,Automatic,65," 157,176,923 "," 132,000,000 "," 144,588,462 ",262200000
Toyota Avanza G Automatic 2020,Toyota,Avanza,G,2020,Automatic,58," 162,413,793 "," 139,000,000 "," 150,706,897 ",228050000
Nissan Grand Livina XV Automatic 2017,Nissan,Grand Livina,XV,2017,Automatic,44," 131,534,091 "," 119,000,000 "," 125,267,045 ",237100000
Toyota Fortuner VRZ 4X2 Automatic 2018,Toyota,Fortuner,VRZ 4X2,2018,Automatic,43," 373,209,302 "," 332,000,000 "," 352,604,651 ",510400000
Toyota Fortuner GR Sport 4X2 Automatic 2022,Toyota,Fortuner,GR Sport 4X2,2022,Automatic,107," 491,864,486 "," 350,000,000 "," 420,932,243 ",590200000
Toyota Fortuner VRZ 4X2 Automatic 2022,Toyota,Fortuner,VRZ 4X2,2022,Automatic,71," 467,760,563 "," 425,000,000 "," 446,380,282 ",566200000
Toyota Kijang Innova V Automatic 2019,Toyota,Kijang Innova,V,2019,Automatic,56," 295,696,429 "," 213,000,000 "," 254,348,214 ",391050000
Daihatsu Ayla M Manual 2024,Daihatsu,Ayla,M,2024,Manual,40," 115,700,000 "," 106,000,000 "," 110,850,000 ",148900000
Honda Brio Satya E Automatic 2017,Honda,Brio,Satya E,2017,Automatic,44," 124,428,409 "," 98,000,000 "," 111,214,205 ",147500000
Toyota Kijang Innova G Automatic 2018,Toyota,Kijang Innova,G,2018,Automatic,47," 260,351,064 "," 170,000,000 "," 215,175,532 ",340600000
Mitsubishi Xpander Cross Premium Automatic 2021,Mitsubishi,Xpander Cross,Premium,2021,Automatic,87," 230,511,494 "," 189,000,000 "," 209,755,747 ",314500000
Toyota Calya G Automatic 2017,Toyota,Calya,G,2017,Automatic,48," 111,250,000 "," 85,000,000 "," 98,125,000 ",147600000
Mercedes-Benz C250 AMG Automatic 2016,Mercedes-Benz,C250,AMG,2016,Automatic,61," 430,401,639 "," 375,000,000 "," 402,700,820 "," 909,000,000 "
Toyota Alphard G Automatic 2015,Toyota,Alphard,G,2015,Automatic,59," 505,423,729 "," 289,000,000 "," 397,211,864 "," 904,700,000 "
BMW X5 xDrive35i xLine Automatic 2017,BMW,X5,xDrive35i xLine,2017,Automatic,46," 519,086,957 "," 405,000,000 "," 462,043,478 ",1399000000
Honda CR-V Turbo Prestige Automatic 2022,Honda,CR-V,Turbo Prestige,2022,Automatic,71," 449,788,732 "," 399,000,000 "," 424,394,366 ",668400000
Toyota Veloz Q TSS (Premium Color) Automatic 2022,Toyota,Veloz,Q TSS (Premium Color),2022,Automatic,51," 234,598,039 "," 209,000,000 "," 221,799,020 ",314900000
Honda HR-V Special Edition Automatic 2023,Honda,HR-V,Special Edition,2023,Automatic,104," 327,782,212 "," 299,000,000 "," 313,391,106 ",
Toyota Rush TRD Sportivo Automatic 2019,Toyota,Rush,TRD Sportivo,2019,Automatic,62," 207,508,065 "," 180,000,000 "," 193,754,032 ",263650000
Toyota Calya G Automatic 2022,Toyota,Calya,G,2022,Automatic,91," 140,806,593 "," 123,000,000 "," 131,903,297 ",174900000
Toyota Vellfire G Automatic 2017,Toyota,Vellfire,G,2017,Automatic,48," 598,395,833 "," 495,000,000 "," 546,697,917 ",1096300000
BMW X5 xDrive40i xLine Automatic 2020,BMW,X5,xDrive40i xLine,2020,Automatic,42," 863,000,000 "," 728,000,000 "," 795,500,000 ",1569000000
Toyota Alphard G Automatic 2019,Toyota,Alphard,G,2019,Automatic,127," 759,559,055 "," 615,000,000 "," 687,279,528 ",1156350000
Toyota Agya G Automatic 2023,Toyota,Agya,G,2023,Automatic,110," 152,009,091 "," 139,000,000 "," 145,504,545 ",175400000
Mercedes-Benz C200 EQ Boost Avantgarde Line Automatic 2019,Mercedes-Benz,C200,EQ Boost Avantgarde Line,2019,Automatic,62," 453,887,097 "," 293,000,000 "," 373,443,548 ",845000000
Toyota Rush TRD Sportivo Automatic 2020,Toyota,Rush,TRD Sportivo,2020,Automatic,54," 211,083,333 "," 185,000,000 "," 198,041,667 ",275650000
Toyota Avanza Veloz Automatic 2021,Toyota,Avanza,Veloz,2021,Automatic,63," 187,096,825 "," 165,000,000 "," 176,048,413 ",228700000
Hyundai IONIQ 5 Signature Long Range Automatic 2022,Hyundai,IONIQ 5,Signature Long Range,2022,Automatic,42," 468,809,524 "," 425,000,000 "," 446,904,762 ",829000000
Honda CR-V Turbo Prestige Automatic 2021,Honda,CR-V,Turbo Prestige,2021,Automatic,108," 421,884,259 "," 349,000,000 "," 385,442,130 ",577000000
Toyota Kijang Innova Zenix V HV Modellista (Premium Color) Automatic 2023,Toyota,Kijang Innova Zenix,V HV Modellista (Premium Color),2023,Automatic,42," 528,619,048 "," 273,000,000 "," 400,809,524 ",535750000
Honda Brio Satya E Automatic 2018,Honda,Brio,Satya E,2018,Automatic,48," 129,927,083 "," 110,000,000 "," 119,963,542 ",146000000
Honda Brio RS Automatic 2021,Honda,Brio,RS,2021,Automatic,105," 169,554,762 "," 136,000,000 "," 152,777,381 ",205700000
Daihatsu Sigra R Automatic 2023,Daihatsu,Sigra,R,2023,Automatic,84," 137,690,476 "," 125,000,000 "," 131,345,238 ",173900000
Daihatsu Sigra D Manual 2024,Daihatsu,Sigra,D,2024,Manual,60," 110,008,333 "," 92,000,000 "," 101,004,167 ",138000000
Toyota Avanza G Automatic 2024,Toyota,Avanza,G,2024,Automatic,74," 220,182,432 "," 201,000,000 "," 210,591,216 ",272500000
Daihatsu Ayla X Manual 2022,Daihatsu,Ayla,X,2022,Manual,46," 110,856,522 "," 98,000,000 "," 104,428,261 ",126300000
Toyota Calya G Manual 2019,Toyota,Calya,G,2019,Manual,61," 117,967,213 "," 100,000,000 "," 108,983,607 ",146400000
BMW X1 sDrive18i xLine Automatic 2019,BMW,X1,sDrive18i xLine,2019,Automatic,60," 403,983,333 "," 300,000,000 "," 351,991,667 ",695000000
Toyota Avanza E Automatic 2023,Toyota,Avanza,E,2023,Automatic,58," 186,293,103 "," 133,000,000 "," 159,646,552 ",243800000
Honda CR-V Turbo Prestige Automatic 2017,Honda,CR-V,Turbo Prestige,2017,Automatic,40," 316,850,000 "," 255,000,000 "," 285,925,000 ",508000000
Mercedes-Benz E300 AMG Line Automatic 2018,Mercedes-Benz,E300,AMG Line,2018,Automatic,47," 673,127,660 "," 439,000,000 "," 556,063,830 ",1379000000
Toyota Fortuner VRZ 4X2 Automatic 2017,Toyota,Fortuner,VRZ 4X2,2017,Automatic,47," 359,053,191 "," 305,000,000 "," 332,026,596 ",504100000
Toyota Kijang Innova Zenix V (Premium Color) Automatic 2023,Toyota,Kijang Innova Zenix,V (Premium Color),2023,Automatic,40," 467,337,500 "," 335,000,000 "," 401,168,750 ",470600000
Mitsubishi Pajero Sport Dakar 4X2 Automatic 2021,Mitsubishi,Pajero Sport,Dakar 4X2,2021,Automatic,56," 471,500,000 "," 420,000,000 "," 445,750,000 ",575700000
Hyundai Creta Style Automatic 2022,Hyundai,Creta,Style,2022,Automatic,61," 243,975,410 "," 215,000,000 "," 229,487,705 ",359000000
BMW 320i Luxury Automatic 2018,BMW,320i,Luxury,2018,Automatic,40," 359,300,000 "," 315,000,000 "," 337,150,000 ",749000000
Toyota Kijang Innova G Automatic 2022,Toyota,Kijang Innova,G,2022,Automatic,82," 318,146,341 "," 239,000,000 "," 278,573,171 ",402000000
Honda HR-V Special Edition Automatic 2022,Honda,HR-V,Special Edition,2022,Automatic,49," 314,887,755 "," 210,000,000 "," 262,443,878 ",405100000
Toyota Alphard G Automatic 2017,Toyota,Alphard,G,2017,Automatic,93," 609,112,903 "," 475,000,000 "," 542,056,452 ",1096300000
Mitsubishi Pajero Sport Dakar 4x2 Automatic 2022,Mitsubishi,Pajero Sport,Dakar 4x2,2022,Automatic,75," 487,366,667 "," 425,000,000 "," 456,183,333 ",593700000
Toyota Agya GR Sport Automatic 2022,Toyota,Agya,GR Sport,2022,Automatic,75," 143,060,000 "," 115,000,000 "," 129,030,000 ",175700000
Toyota Veloz Q TSS (Non Premium Color) Automatic 2022,Toyota,Veloz,Q TSS (Non Premium Color),2022,Automatic,54," 236,703,704 "," 205,000,000 "," 220,851,852 ",312400000
Toyota Corolla Cross Hybrid Automatic 2021,Toyota,Corolla Cross,Hybrid,2021,Automatic,40," 328,100,000 "," 295,000,000 "," 311,550,000 ",497800000
Toyota Fortuner VRZ TRD 4X2 Automatic 2021,Toyota,Fortuner,VRZ TRD 4X2,2021,Automatic,54," 441,055,556 "," 385,000,000 "," 413,027,778 ",568000000
Mitsubishi Xpander Ultimate Automatic 2021,Mitsubishi,Xpander,Ultimate,2021,Automatic,69," 218,746,377 "," 186,000,000 "," 202,373,188 ",278900000
Honda Brio Satya E Automatic 2024,Honda,Brio,Satya E,2024,Automatic,40," 171,372,500 "," 150,000,000 "," 160,686,250 ",198300000
Mazda CX-5 Elite Automatic 2019,Mazda,CX-5,Elite,2019,Automatic,48," 325,375,000 "," 250,000,000 "," 287,687,500 ",578800000
Toyota Avanza G Automatic 2021,Toyota,Avanza,G,2021,Automatic,101," 175,400,990 "," 150,000,000 "," 162,700,495 ",220000000
Honda Brio Satya E Automatic 2020,Honda,Brio,Satya E,2020,Automatic,40," 147,085,000 "," 126,000,000 "," 136,542,500 ",162600000
Toyota Kijang Innova Zenix V (Non Premium Color) Automatic 2023,Toyota,Kijang Innova Zenix,V (Non Premium Color),2023,Automatic,51," 393,607,843 "," 345,000,000 "," 369,303,922 ",467600000
Toyota Veloz Q (Premium Color) Automatic 2022,Toyota,Veloz,Q (Premium Color),2022,Automatic,95," 227,210,526 "," 203,000,000 "," 215,105,263 ",292400000
Honda WR-V RS Automatic 2023,Honda,WR-V,RS,2023,Automatic,59," 241,193,220 "," 199,900,000 "," 220,546,610 ",297900000
Mitsubishi Xpander Ultimate Automatic 2023,Mitsubishi,Xpander,Ultimate,2023,Automatic,51," 244,921,569 "," 139,000,000 "," 191,960,784 ",312900000
Toyota Veloz Q (Premium Color) Automatic 2023,Toyota,Veloz,Q (Premium Color),2023,Automatic,56," 236,535,714 "," 208,000,000 "," 222,267,857 ",305700000
Honda HR-V E Automatic 2020,Honda,HR-V,E,2020,Automatic,42," 227,845,238 "," 205,000,000 "," 216,422,619 ",317800000
Toyota Kijang Innova Venturer Automatic 2022,Toyota,Kijang Innova,Venturer,2022,Automatic,59," 455,889,831 "," 345,000,000 "," 400,444,915 ",510300000
BMW X1 sDrive18i xLine Automatic 2018,BMW,X1,sDrive18i xLine,2018,Automatic,53," 351,830,189 "," 285,000,000 "," 318,415,094 ",669000000
Toyota Calya G Manual 2018,Toyota,Calya,G,2018,Manual,40," 112,975,000 "," 85,000,000 "," 98,987,500 ",140150000
Suzuki Ignis GX Automatic 2018,Suzuki,Ignis,GX,2018,Automatic,47," 126,893,617 "," 115,000,000 "," 120,946,809 ",159500000
Mercedes-Benz GLC200 AMG Line Automatic 2020,Mercedes-Benz,GLC200,AMG Line,2020,Automatic,69," 708,826,087 "," 525,000,000 "," 616,913,043 ",995000000
Nissan Serena Highway Star Automatic 2019,Nissan,Serena,Highway Star,2019,Automatic,49," 261,132,653 "," 215,000,000 "," 238,066,327 ",465000000
Honda Jazz RS Automatic 2017,Honda,Jazz,RS,2017,Automatic,41," 204,243,903 "," 162,000,000 "," 183,121,951 ",272500000
Toyota Avanza E Automatic 2021,Toyota,Avanza,E,2021,Automatic,131," 158,610,687 "," 148,000,000 "," 153,305,344 ",207800000
Wuling Almaz RS Pro Automatic 2021,Wuling,Almaz,RS Pro,2021,Automatic,47," 203,446,809 "," 169,000,000 "," 186,223,404 ",395800000
KIA Sonet Premiere Automatic 2021,KIA,Sonet,Premiere,2021,Automatic,40," 208,175,000 "," 185,000,000 "," 196,587,500 ",289000000
Toyota Camry V Automatic 2020,Toyota,Camry,V,2020,Automatic,44," 358,897,727 "," 300,000,000 "," 329,448,864 ",641450000
Daihatsu Ayla X Automatic 2022,Daihatsu,Ayla,X,2022,Automatic,42," 123,047,619 "," 107,000,000 "," 115,023,810 ",138300000
Mitsubishi Pajero Sport Dakar 4X2 Automatic 2019,Mitsubishi,Pajero Sport,Dakar 4X2,2019,Automatic,76," 401,730,263 "," 300,000,000 "," 350,865,132 ",534500000
Toyota Alphard G Automatic 2012,Toyota,Alphard,G,2012,Automatic,50," 257,500,000 "," 194,000,000 "," 225,750,000 "," 795,000,000 "
Suzuki Ertiga Hybrid GX Automatic 2023,Suzuki,Ertiga,Hybrid GX,2023,Automatic,45," 251,622,222 "," 173,000,000 "," 212,311,111 ",284700000
Honda BR-V Prestige Automatic 2022,Honda,BR-V,Prestige,2022,Automatic,107," 232,051,402 "," 200,500,000 "," 216,275,701 ",330600000
Honda Brio Satya E Automatic 2019,Honda,Brio,Satya E,2019,Automatic,75," 147,133,333 "," 127,000,000 "," 137,066,667 ",152000000
Mitsubishi Xpander Ultimate Automatic 2020,Mitsubishi,Xpander,Ultimate,2020,Automatic,123," 212,077,236 "," 180,000,000 "," 196,038,618 ",272100000
Toyota Avanza G TSS Automatic 2021,Toyota,Avanza,G TSS,2021,Automatic,77," 201,155,844 "," 185,000,000 "," 193,077,922 ",264400000
Honda BR-V E Prestige Automatic 2016,Honda,BR-V,E Prestige,2016,Automatic,42," 165,928,571 "," 129,000,000 "," 147,464,286 "," 256,500,000 "
Toyota Calya G Automatic 2020,Toyota,Calya,G,2020,Automatic,109," 128,862,385 "," 101,000,000 "," 114,931,193 ",158400000
Mitsubishi Xpander Ultimate Automatic 2018,Mitsubishi,Xpander,Ultimate,2018,Automatic,110," 197,677,273 "," 165,000,000 "," 181,338,636 ",255900000
Suzuki Ertiga GX Automatic 2022,Suzuki,Ertiga,GX,2022,Automatic,61," 192,852,459 "," 185,000,000 "," 188,926,230 ",270300000
Toyota Avanza G Automatic 2019,Toyota,Avanza,G,2019,Automatic,58," 156,551,724 "," 145,000,000 "," 150,775,862 ",218650000
Nissan Serena Highway Star Automatic 2013,Nissan,Serena,Highway Star,2013,Automatic,46," 137,500,000 "," 120,000,000 "," 128,750,000 "," 375,000,000 "
Toyota Calya G Automatic 2023,Toyota,Calya,G,2023,Automatic,83," 145,831,325 "," 132,000,000 "," 138,915,663 ",184400000
Toyota Avanza G Automatic 2022,Toyota,Avanza,G,2022,Automatic,64," 201,585,938 "," 175,000,000 "," 188,292,969 ",253100000
Honda Jazz RS Automatic 2016,Honda,Jazz,RS,2016,Automatic,42," 184,833,333 "," 165,000,000 "," 174,916,667 "," 262,500,000 "
Toyota Calya G Automatic 2019,Toyota,Calya,G,2019,Automatic,76," 121,743,421 "," 110,000,000 "," 115,871,711 ",154900000
Honda HR-V E Special Edition Automatic 2021,Honda,HR-V,E Special Edition,2021,Automatic,45," 250,444,444 "," 190,000,000 "," 220,222,222 ",352000000
Mitsubishi Pajero Sport Dakar 4x2 Automatic 2023,Mitsubishi,Pajero Sport,Dakar 4x2,2023,Automatic,49," 519,224,490 "," 445,000,000 "," 482,112,245 ",611200000
Toyota Fortuner VRZ 4X2 Automatic 2019,Toyota,Fortuner,VRZ 4X2,2019,Automatic,43," 386,813,953 "," 343,000,000 "," 364,906,977 ",516700000
Daihatsu Sigra R Automatic 2024,Daihatsu,Sigra,R,2024,Automatic,83," 139,584,337 "," 122,000,000 "," 130,792,169 ",177300000
